"","id","AD","CIT","SW"
"104","3300DTYQT2HJ691LOU568GCIN39QEZ",2.477830469,1.8176399855,1.9305117315
"105","3300DTYQT2HJ691LOU568GCIOYYEQ3",1.621515437,2.414307766,0.2436703625
"106","333U7HK6I9FXSGJ8X9AD5XIBALGDJH",1.722326587,1.6140665065,1.2666667245
"107","336KAV9KYQS0KVGRMKRZJ16VP382Y8",3.713623674,0.865934021000001,2.5272895405
"108","336KAV9KYQS0KVGRMKRZJ16VQ1YY2R",3.003650631,1.7307833195,-0.3092963695
"109","336YQZE83VESPBA0L05MNDM00GA5M1",4.0538384345,0.783562761,1.3758226845
"110","336YQZE83VESPBA0L05MNDM00IK5MF",1.1938616985,2.626305871,1.6015975785
"111","336YQZE83VESPBA0L05MNDM00IRM53",2.109927035,0.974680627,0.367629927
"112","336YQZE83VESPBA0L05MNDM010S5MO",3.722251025,1.887486289,1.972970199
"113","336YQZE83VESPBA0L05MNDM01YJ5MB",3.0077275395,2.4405320435,0.710009712
"114","337RC3OW052PHN7URFMKRY1ADD1LVT",1.693949436,1.8944542265,0.318370877
"115","337RC3OW052PHN7URFMKRY1AEIKLVN",3.4107952825,2.3018192435,1.355280985
"116","337RC3OW052PHN7URFMKRY1AEONVLC",1.98206861,1.281472441,1.1052127635
"117","338JKRMM26Z333L6PZGQ3JUQBANHAP",2.1340955195,4.0122089065,0.8726075745
"118","338JKRMM26Z333L6PZGQ3JUQCRNHAO",3.7544660695,1.4114530065,1.0520528615
"119","339ANSOTR529BB5C78B0X9Y1GK5IKD",1.851278858,1.37777044,1.153638635
"120","339ANSOTR529BB5C78B0X9Y1HL1KIE",3.748740426,1.717342681,2.817312401
"121","339ANSOTR529BB5C78B0X9Y1HWGIKD",1.927315256,2.3648472735,2.0438189915
"122","33C7UALJVLYEG47DQCTRF58O4VG81Y",2.3694544575,0.9568052175,-0.3496181495
"123","33C7UALJVLYEG47DQCTRF58O5EL18Z",1.3842910105,1.6522051835,0.0641371505000001
"124","33CID57104T55E5B75GE839RNXH3LW",1.826949864,1.457927543,-0.0324167044999999
"125","33CKWXB73JKW54NSRRKC0VLGQRL11M",1.556838557,1.029018845,0.208627196
"126","33CKWXB73JKW54NSRRKC0VLGRBL11R",1.3997889945,1.3100955,0.496172234
"127","33CUSNVVNNCWR4RYPX26UFVWIZF887",2.5579935725,1.0432390215,1.67548693
"128","33CUSNVVNNCWR4RYPX26UFVWJS588K",2.6612873615,1.9057260515,0.896515545
"129","33F859I566D8MDQYVDGMYUEWTOHBHF",1.531744002,1.9376215645,0.4735684355
"130","33F859I566D8MDQYVDGMYUEWUC1BHC",2.9207180835,2.8222199835,1.5129677395
"131","33FBRBDW6OZY37HB69IBW1RF8QP8C2",1.539382195,2.5820417155,-0.1275740955
"132","33FBRBDW6OZY37HB69IBW1RF9CJC89",1.7585527735,1.09423902,1.2736553275
"133","33FBRBDW6OZY37HB69IBW1RF9HDC8D",1.9930716275,3.2279054745,1.2411764345
"134","33FOTY3KEMLGS7XQ7O9WHR47V591C8",1.532233265,0.639957357,0.24020655
"135","33FOTY3KEMLGS7XQ7O9WHR47V971CE",2.379338279,2.8797653105,1.0987652475
"136","33ISQZVXPPM0FA7ONLYGYNNYYHECCG",2.770278,2.0548832275,0.2449568295
"137","33IZTU6J8114PP7FB3K3R5CQL6QSX2",3.4403772605,1.2379834365,0.7167400065
"138","33IZTU6J8114PP7FB3K3R5CQLP1XSK",3.1198493245,0.781625652000001,0.0137064949999998
"139","33IZTU6J8114PP7FB3K3R5CQLX8XS7",2.8376751195,1.6074451535,0.374063226
"140","33IZTU6J8114PP7FB3K3R5CQLXYXSX",2.292728501,1.107564298,0.205633151
"141","33IZTU6J8114PP7FB3K3R5CQMRRSXA",1.8751708775,0.900290913,0.6276736275
"142","33L7PJKHCGYFPOJMSVD1LBRJWZ8T8Z",2.7837549785,1.759612706,2.280720148
"143","33L7PJKHCGYFPOJMSVD1LBRJX478TO",1.888111582,1.4474416425,1.0818844455
"144","33L7PJKHCGYFPOJMSVD1LBRJXX68T9",2.8592996585,1.73922721,-0.121839878
"145","33LKR6A5KEKXEOZ1TA4M614BJPN1T1",4.6253723865,2.0493708015,2.2897122315
"146","33M4IA01QG1SOA72WEKY1V7U0LFXRQ",1.439742341,0.864527812,0.0845848419999999
"147","33M4IA01QG1SOA72WEKY1V7U0MIXRV",1.7443223515,1.141726167,0.1048629745
"148","33M4IA01QG1SOA72WEKY1V7UZNIXRW",3.429369498,0.625901555,2.5212243135
"149","33OOO72IVHLH1R9Z97T6NXN2NSMCTM",1.5249994205,1.595744056,0.621212757
"150","33PPO7FECVF1X5Z2FRPDTW3BWB5IDX",3.0868896635,3.3527481265,1.4521586875
"151","33PPO7FECVF1X5Z2FRPDTW3BWMNID1",1.9094551895,1.3211938615,0.6191147225
"152","33PPO7FECVF1X5Z2FRPDTW3BWORID9",1.854673199,1.294014958,-0.286019811
"153","33PPO7FECVF1X5Z2FRPDTW3BWQ1DII",1.641025948,1.459722616,0.22362619
"154","33PPUNGG385HT57HXW8JYGN574SRZX",3.377845548,1.874290506,-0.076977427
"155","33PPUNGG385HT57HXW8JYGN574ZRZ4",2.389418644,2.395903229,1.794874328
"156","33SA9F9TRXUOQ6X7034C05U4B95EWG",1.361681587,0.6439096615,0.2390887685
"157","33SA9F9TRXUOQ6X7034C05U4BOTEWY",1.8765875735,1.622364617,0.0964133995000001
"158","33SA9F9TRXUOQ6X7034C05U4CS7EWL",3.5551933615,1.253511437,0.955661885
"159","33SA9F9TRXUOQ6X7034C05U4CTUWES",1.803939355,1.4863805,0.559171518
"160","33TIN5LC04ABKF1Q7T6ETOE9VLM9YZ",4.352971613,2.153222231,1.557974691
"161","33TIN5LC04ABKF1Q7T6ETOE9W4SY9X",3.687069898,2.497381831,1.2552961
"162","33TIN5LC04ABKF1Q7T6ETOE9WAJ9YB",3.355785232,1.20868219,1.144439624
